Tweet,Sarcasm (yes/no)
"the game are so wonderful, said no one ever.",yes
artists have always been great.,no
"Oh great, another this movie. Just what I needed.",yes
Because the conference really make everything better.,yes
engineers have always been great.,no
the concert are genuinely amazing.,no
I just love when the conference happens.,yes
Nothing better than a this book moment.,yes
vegetarians are genuinely amazing.,no
Nothing better than a doctors moment.,yes
Because my new phone really make everything better.,yes
"Had a the game, best experience ever. Not.",yes
I just love when artists happens.,yes
Can't wait for more of this movie.,no
doctors are genuinely amazing.,no
my new phone are genuinely amazing.,no
Can't wait for more of this book.,yes
the conference are genuinely amazing.,no
this movie have always been great.,no
"Everyone loves musicians, right?",yes
Had a great time with vegetarians.,no
I genuinely love scientists.,no
Nothing better than a musicians moment.,yes
doctors have always been great.,no
doctors are genuinely amazing.,no
vegetarians are genuinely amazing.,no
I find vegetarians to be wonderful.,no
Because the concert really make everything better.,yes
I just love when the conference happens.,yes
Can't wait for more of musicians.,no
I am always excited for this movie.,no
"Had a artists, best experience ever. Not.",yes
"vegetarians are so wonderful, said no one ever.",yes
I genuinely love athletes.,no
I find my new phone to be wonderful.,no
"athletes are so wonderful, said no one ever.",yes
Nothing better than a musicians moment.,yes
artists are truly inspiring.,no
I am always excited for the game.,no
I find the conference to be wonderful.,no
the meal are truly inspiring.,no
Because athletes really make everything better.,yes
the workshop are genuinely amazing.,no
I am always excited for vegetarians.,no
I genuinely love the game.,no
"Had a the game, best experience ever. Not.",yes
this book have always been great.,no
Nothing better than a artists moment.,yes
Nothing better than a the concert moment.,yes
I am always excited for the meal.,no
Can't wait for more of this movie.,yes
musicians are genuinely amazing.,no
Nothing better than a my new phone moment.,yes
I genuinely love the game.,no
I genuinely love the meal.,no
I am always excited for engineers.,no
"Everyone loves athletes, right?",yes
I genuinely love musicians.,no
I just love when the meal happens.,yes
Can't wait for more of the meal.,no
"Had a the meal, best experience ever. Not.",yes
Because the conference really make everything better.,yes
I just love when the workshop happens.,yes
Because the meal really make everything better.,yes
Can't wait for more of doctors.,yes
the conference have always been great.,no
"Oh great, another doctors. Just what I needed.",yes
I am always excited for this book.,no
Because the concert really make everything better.,yes
"Had a writers, best experience ever. Not.",yes
"Oh great, another this movie. Just what I needed.",yes
I just love when engineers happens.,yes
Nothing better than a vegetarians moment.,yes
I find the conference to be wonderful.,no
"Oh great, another scientists. Just what I needed.",yes
Had a great time with engineers.,no
I am always excited for the game.,no
"Oh great, another athletes. Just what I needed.",yes
Can't wait for more of this book.,no
I find this book to be wonderful.,no
Nothing better than a the meal moment.,yes
"Everyone loves the conference, right?",yes
I just love when musicians happens.,yes
musicians are genuinely amazing.,no
vegetarians are truly inspiring.,no
"Everyone loves the meal, right?",yes
I find this movie to be wonderful.,no
"this book are so wonderful, said no one ever.",yes
vegetarians are genuinely amazing.,no
doctors are truly inspiring.,no
I just love when this movie happens.,yes
doctors have always been great.,no
Had a great time with vegetarians.,no
artists are truly inspiring.,no
"Oh great, another engineers. Just what I needed.",yes
I just love when athletes happens.,yes
"the game are so wonderful, said no one ever.",yes
I am always excited for this book.,no
"musicians are so wonderful, said no one ever.",yes
the meal are genuinely amazing.,no
Had a great time with my new phone.,no
Can't wait for more of athletes.,yes
I am always excited for this book.,no
"Everyone loves scientists, right?",yes
Because scientists really make everything better.,yes
Because engineers really make everything better.,yes
Had a great time with vegetarians.,no
engineers have always been great.,no
I find vegetarians to be wonderful.,no
Because athletes really make everything better.,yes
Because my new phone really make everything better.,yes
I am always excited for this book.,no
musicians are genuinely amazing.,no
artists are genuinely amazing.,no
Because the concert really make everything better.,yes
vegetarians have always been great.,no
I find musicians to be wonderful.,no
I genuinely love musicians.,no
"scientists are so wonderful, said no one ever.",yes
I am always excited for musicians.,no
the concert are genuinely amazing.,no
Because artists really make everything better.,yes
"Had a this book, best experience ever. Not.",yes
I am always excited for musicians.,no
I am always excited for athletes.,no
I find this book to be wonderful.,no
I just love when the meal happens.,yes
I genuinely love the concert.,no
I just love when the conference happens.,yes
"Oh great, another musicians. Just what I needed.",yes
"engineers are so wonderful, said no one ever.",yes
Can't wait for more of the workshop.,yes
Nothing better than a athletes moment.,yes
Nothing better than a vegetarians moment.,yes
musicians are truly inspiring.,no
"Had a the meal, best experience ever. Not.",yes
Can't wait for more of artists.,yes
"the conference are so wonderful, said no one ever.",yes
I just love when writers happens.,yes
Had a great time with doctors.,no
scientists are truly inspiring.,no
Can't wait for more of the conference.,yes
vegetarians are truly inspiring.,no
"Everyone loves vegetarians, right?",yes
"Everyone loves musicians, right?",yes
"the conference are so wonderful, said no one ever.",yes
Can't wait for more of engineers.,no
Nothing better than a artists moment.,yes
I genuinely love writers.,no
"Had a scientists, best experience ever. Not.",yes
vegetarians are genuinely amazing.,no
"this movie are so wonderful, said no one ever.",yes
"Had a the workshop, best experience ever. Not.",yes
Nothing better than a my new phone moment.,yes
Because artists really make everything better.,yes
artists are genuinely amazing.,no
I just love when the meal happens.,yes
Nothing better than a engineers moment.,yes
engineers are genuinely amazing.,no
engineers are genuinely amazing.,no
Nothing better than a the meal moment.,yes
"Oh great, another the concert. Just what I needed.",yes
I find doctors to be wonderful.,no
I am always excited for engineers.,no
the meal are genuinely amazing.,no
Because my new phone really make everything better.,yes
"Everyone loves the game, right?",yes
I just love when the game happens.,yes
"Oh great, another engineers. Just what I needed.",yes
the workshop have always been great.,no
vegetarians are genuinely amazing.,no
Had a great time with engineers.,no
I am always excited for this book.,no
"Had a engineers, best experience ever. Not.",yes
Can't wait for more of the game.,yes
Can't wait for more of scientists.,no
the game are genuinely amazing.,no
Can't wait for more of vegetarians.,no
Can't wait for more of doctors.,yes
Had a great time with the meal.,no
doctors have always been great.,no
Can't wait for more of my new phone.,no
I am always excited for the workshop.,no
Can't wait for more of scientists.,yes
"Oh great, another musicians. Just what I needed.",yes
Can't wait for more of doctors.,no
Had a great time with this book.,no
Can't wait for more of musicians.,no
Had a great time with engineers.,no
Can't wait for more of artists.,no
Nothing better than a engineers moment.,yes
Had a great time with the concert.,no
"Oh great, another the game. Just what I needed.",yes
I just love when this movie happens.,yes
"this movie are so wonderful, said no one ever.",yes
"Had a athletes, best experience ever. Not.",yes
Can't wait for more of the conference.,no
Can't wait for more of the game.,no
Can't wait for more of artists.,yes
Because vegetarians really make everything better.,yes
Nothing better than a this movie moment.,yes
engineers are truly inspiring.,no
Nothing better than a my new phone moment.,yes
I just love when writers happens.,yes
I just love when writers happens.,yes
I just love when the meal happens.,yes
engineers have always been great.,no
I genuinely love this book.,no
Can't wait for more of musicians.,no
the workshop have always been great.,no
"Had a musicians, best experience ever. Not.",yes
the conference have always been great.,no
the workshop have always been great.,no
Can't wait for more of vegetarians.,yes
"Oh great, another athletes. Just what I needed.",yes
Had a great time with the game.,no
Can't wait for more of the meal.,no
I just love when this book happens.,yes
Because scientists really make everything better.,yes
I genuinely love athletes.,no
I genuinely love the game.,no
I am always excited for this movie.,no
I am always excited for the concert.,no
I just love when scientists happens.,yes
"Everyone loves the game, right?",yes
I find my new phone to be wonderful.,no
I find the concert to be wonderful.,no
I just love when vegetarians happens.,yes
I just love when athletes happens.,yes
"Oh great, another athletes. Just what I needed.",yes
"the conference are so wonderful, said no one ever.",yes
"Everyone loves musicians, right?",yes
Can't wait for more of my new phone.,yes
scientists are truly inspiring.,no
"Had a the concert, best experience ever. Not.",yes
"Oh great, another scientists. Just what I needed.",yes
I just love when my new phone happens.,yes
Can't wait for more of vegetarians.,yes
Can't wait for more of musicians.,yes
"Everyone loves musicians, right?",yes
Can't wait for more of musicians.,no
the meal are genuinely amazing.,no
Nothing better than a the concert moment.,yes
I am always excited for scientists.,no
"Everyone loves doctors, right?",yes
Can't wait for more of artists.,yes
"the concert are so wonderful, said no one ever.",yes
I just love when doctors happens.,yes
writers are genuinely amazing.,no
musicians are truly inspiring.,no
this book are truly inspiring.,no
"vegetarians are so wonderful, said no one ever.",yes
Nothing better than a the workshop moment.,yes
I genuinely love athletes.,no
Can't wait for more of the meal.,yes
"the workshop are so wonderful, said no one ever.",yes
I am always excited for the conference.,no
Can't wait for more of artists.,no
Can't wait for more of scientists.,yes
"my new phone are so wonderful, said no one ever.",yes
I just love when the conference happens.,yes
I am always excited for vegetarians.,no
I just love when writers happens.,yes
I find this book to be wonderful.,no
I genuinely love vegetarians.,no
Had a great time with writers.,no
"Had a engineers, best experience ever. Not.",yes
I find athletes to be wonderful.,no
this book are truly inspiring.,no
"the concert are so wonderful, said no one ever.",yes
musicians have always been great.,no
Can't wait for more of my new phone.,no
Nothing better than a the game moment.,yes
the concert have always been great.,no
"scientists are so wonderful, said no one ever.",yes
this movie are genuinely amazing.,no
musicians are genuinely amazing.,no
I am always excited for doctors.,no
Nothing better than a doctors moment.,yes
Can't wait for more of the conference.,no
"engineers are so wonderful, said no one ever.",yes
Can't wait for more of this movie.,no
athletes are genuinely amazing.,no
"the game are so wonderful, said no one ever.",yes
"Oh great, another the conference. Just what I needed.",yes
I am always excited for engineers.,no
I am always excited for the workshop.,no
Nothing better than a this book moment.,yes
"Everyone loves vegetarians, right?",yes
Had a great time with artists.,no
athletes are genuinely amazing.,no
I am always excited for artists.,no
Nothing better than a the workshop moment.,yes
"Had a scientists, best experience ever. Not.",yes
"Had a the meal, best experience ever. Not.",yes
"Everyone loves this book, right?",yes
Because vegetarians really make everything better.,yes
"Had a doctors, best experience ever. Not.",yes
Had a great time with the meal.,no
doctors have always been great.,no
"Had a scientists, best experience ever. Not.",yes
Can't wait for more of musicians.,no
I genuinely love artists.,no
I find the concert to be wonderful.,no
I just love when vegetarians happens.,yes
artists are genuinely amazing.,no
"Oh great, another artists. Just what I needed.",yes
"Oh great, another engineers. Just what I needed.",yes
I am always excited for writers.,no
I just love when my new phone happens.,yes
Because this movie really make everything better.,yes
"Oh great, another athletes. Just what I needed.",yes
Can't wait for more of writers.,no
I just love when doctors happens.,yes
Can't wait for more of this book.,no
I find the concert to be wonderful.,no
writers are truly inspiring.,no
I genuinely love my new phone.,no
this book are genuinely amazing.,no
musicians are genuinely amazing.,no
Can't wait for more of the workshop.,no
I genuinely love the conference.,no
"Oh great, another this book. Just what I needed.",yes
vegetarians have always been great.,no
Can't wait for more of the workshop.,no
I find vegetarians to be wonderful.,no
Can't wait for more of my new phone.,no
Nothing better than a the game moment.,yes
"vegetarians are so wonderful, said no one ever.",yes
athletes have always been great.,no
I genuinely love the meal.,no
athletes are genuinely amazing.,no
Can't wait for more of athletes.,no
Can't wait for more of musicians.,yes
"Oh great, another writers. Just what I needed.",yes
I just love when scientists happens.,yes
I genuinely love this book.,no
"Oh great, another doctors. Just what I needed.",yes
doctors are genuinely amazing.,no
the workshop have always been great.,no
"Had a this movie, best experience ever. Not.",yes
I am always excited for engineers.,no
artists are truly inspiring.,no
Because this book really make everything better.,yes
I find the conference to be wonderful.,no
Because my new phone really make everything better.,yes
"athletes are so wonderful, said no one ever.",yes
Because scientists really make everything better.,yes
Had a great time with this movie.,no
Can't wait for more of artists.,no
engineers are truly inspiring.,no
I am always excited for engineers.,no
the meal are genuinely amazing.,no
I genuinely love artists.,no
Nothing better than a musicians moment.,yes
Can't wait for more of musicians.,yes
I just love when artists happens.,yes
"Had a my new phone, best experience ever. Not.",yes
"Everyone loves my new phone, right?",yes
engineers are genuinely amazing.,no
the game have always been great.,no
"the workshop are so wonderful, said no one ever.",yes
"Everyone loves doctors, right?",yes
Can't wait for more of athletes.,no
Had a great time with the concert.,no
Nothing better than a the conference moment.,yes
I just love when the concert happens.,yes
"Everyone loves the workshop, right?",yes
I find this book to be wonderful.,no
the concert are truly inspiring.,no
the meal are genuinely amazing.,no
"Oh great, another the game. Just what I needed.",yes
Can't wait for more of engineers.,yes
I am always excited for the concert.,no
the meal are genuinely amazing.,no
Because the game really make everything better.,yes
the meal are genuinely amazing.,no
the conference are genuinely amazing.,no
I find my new phone to be wonderful.,no
"Oh great, another the meal. Just what I needed.",yes
the concert are truly inspiring.,no
I am always excited for writers.,no
the meal have always been great.,no
doctors have always been great.,no
Can't wait for more of the game.,yes
"the meal are so wonderful, said no one ever.",yes
"Everyone loves scientists, right?",yes
I just love when scientists happens.,yes
I genuinely love athletes.,no
Can't wait for more of writers.,yes
"Oh great, another vegetarians. Just what I needed.",yes
I am always excited for the conference.,no
"Everyone loves writers, right?",yes
"Everyone loves the conference, right?",yes
I just love when engineers happens.,yes
I just love when athletes happens.,yes
I am always excited for musicians.,no
"Oh great, another artists. Just what I needed.",yes
Because writers really make everything better.,yes
Had a great time with athletes.,no
"Oh great, another the conference. Just what I needed.",yes
"Everyone loves scientists, right?",yes
I genuinely love vegetarians.,no
Can't wait for more of doctors.,no
"Had a the workshop, best experience ever. Not.",yes
I find the conference to be wonderful.,no
"Everyone loves engineers, right?",yes
Can't wait for more of the concert.,no
"the concert are so wonderful, said no one ever.",yes
Had a great time with vegetarians.,no
"musicians are so wonderful, said no one ever.",yes
Because athletes really make everything better.,yes
"Had a the workshop, best experience ever. Not.",yes
"Oh great, another this book. Just what I needed.",yes
"the workshop are so wonderful, said no one ever.",yes
Had a great time with scientists.,no
Had a great time with vegetarians.,no
Can't wait for more of the workshop.,yes
scientists are truly inspiring.,no
"doctors are so wonderful, said no one ever.",yes
"Everyone loves the concert, right?",yes
"Had a the meal, best experience ever. Not.",yes
Had a great time with athletes.,no
"Oh great, another musicians. Just what I needed.",yes
my new phone have always been great.,no
"Oh great, another vegetarians. Just what I needed.",yes
"Oh great, another scientists. Just what I needed.",yes
I am always excited for scientists.,no
"the game are so wonderful, said no one ever.",yes
Had a great time with the meal.,no
I find musicians to be wonderful.,no
"Had a the game, best experience ever. Not.",yes
"Oh great, another the conference. Just what I needed.",yes
Can't wait for more of my new phone.,yes
vegetarians have always been great.,no
"Everyone loves the game, right?",yes
I genuinely love the concert.,no
I find artists to be wonderful.,no
Nothing better than a the meal moment.,yes
Because the conference really make everything better.,yes
Can't wait for more of vegetarians.,no
"the concert are so wonderful, said no one ever.",yes
"vegetarians are so wonderful, said no one ever.",yes
Can't wait for more of this book.,no
scientists have always been great.,no
I genuinely love doctors.,no
"Had a the concert, best experience ever. Not.",yes
I just love when doctors happens.,yes
engineers are truly inspiring.,no
"Everyone loves engineers, right?",yes
I just love when athletes happens.,yes
writers are genuinely amazing.,no
I find doctors to be wonderful.,no
I genuinely love vegetarians.,no
"Oh great, another writers. Just what I needed.",yes
Can't wait for more of artists.,no
"Everyone loves scientists, right?",yes
I genuinely love scientists.,no
Can't wait for more of vegetarians.,no
"Oh great, another athletes. Just what I needed.",yes
engineers are truly inspiring.,no
this book are genuinely amazing.,no
I find scientists to be wonderful.,no
Nothing better than a artists moment.,yes
the game have always been great.,no
I genuinely love my new phone.,no
"engineers are so wonderful, said no one ever.",yes
I find musicians to be wonderful.,no
"Everyone loves writers, right?",yes
I genuinely love this book.,no
Had a great time with the conference.,no
"athletes are so wonderful, said no one ever.",yes
Can't wait for more of my new phone.,yes
Because musicians really make everything better.,yes
Can't wait for more of my new phone.,no
"Oh great, another the game. Just what I needed.",yes
I just love when musicians happens.,yes
scientists are truly inspiring.,no
Because the game really make everything better.,yes
"the game are so wonderful, said no one ever.",yes
"this book are so wonderful, said no one ever.",yes
"Had a the workshop, best experience ever. Not.",yes
Can't wait for more of the game.,no
Can't wait for more of the concert.,no
I just love when the meal happens.,yes
"doctors are so wonderful, said no one ever.",yes
"Everyone loves the workshop, right?",yes
"my new phone are so wonderful, said no one ever.",yes
I find engineers to be wonderful.,no
I am always excited for athletes.,no
Because scientists really make everything better.,yes
"Oh great, another scientists. Just what I needed.",yes
"Had a vegetarians, best experience ever. Not.",yes
the concert are genuinely amazing.,no
athletes are genuinely amazing.,no
"Everyone loves the game, right?",yes
"Had a my new phone, best experience ever. Not.",yes
the workshop have always been great.,no
Because doctors really make everything better.,yes
I find the concert to be wonderful.,no
I genuinely love the concert.,no
I genuinely love my new phone.,no
"my new phone are so wonderful, said no one ever.",yes
this book are truly inspiring.,no
I am always excited for the workshop.,no
Can't wait for more of engineers.,no
Had a great time with vegetarians.,no
I find doctors to be wonderful.,no
"Everyone loves artists, right?",yes
artists have always been great.,no
Nothing better than a the conference moment.,yes
I find writers to be wonderful.,no
"Everyone loves the workshop, right?",yes
I am always excited for the game.,no
Nothing better than a my new phone moment.,yes
"writers are so wonderful, said no one ever.",yes
"Oh great, another scientists. Just what I needed.",yes
Nothing better than a this movie moment.,yes
I am always excited for the conference.,no
athletes have always been great.,no
"the concert are so wonderful, said no one ever.",yes
I just love when doctors happens.,yes
Can't wait for more of this movie.,yes
I am always excited for the concert.,no
"Had a the game, best experience ever. Not.",yes
the concert have always been great.,no
"the workshop are so wonderful, said no one ever.",yes
"Everyone loves the conference, right?",yes
"Oh great, another doctors. Just what I needed.",yes
Had a great time with this book.,no
Had a great time with artists.,no
this book are truly inspiring.,no
Can't wait for more of my new phone.,no
I just love when the concert happens.,yes
musicians are genuinely amazing.,no
Had a great time with the workshop.,no
Nothing better than a the meal moment.,yes
Can't wait for more of the game.,no
"my new phone are so wonderful, said no one ever.",yes
this movie are genuinely amazing.,no
the meal are genuinely amazing.,no
"Everyone loves the meal, right?",yes
I genuinely love the concert.,no
"Everyone loves musicians, right?",yes
the concert are truly inspiring.,no
the workshop are truly inspiring.,no
I just love when scientists happens.,yes
my new phone are truly inspiring.,no
Had a great time with the workshop.,no
I am always excited for the meal.,no
scientists are truly inspiring.,no
"musicians are so wonderful, said no one ever.",yes
I find vegetarians to be wonderful.,no
Because this book really make everything better.,yes
Nothing better than a scientists moment.,yes
I am always excited for this book.,no
Can't wait for more of artists.,no
Can't wait for more of the workshop.,yes
I find engineers to be wonderful.,no
I genuinely love this movie.,no
I find vegetarians to be wonderful.,no
Can't wait for more of this book.,no
I genuinely love scientists.,no
Can't wait for more of writers.,no
"Oh great, another the conference. Just what I needed.",yes
"Everyone loves scientists, right?",yes
"Had a engineers, best experience ever. Not.",yes
I genuinely love writers.,no
"Had a the conference, best experience ever. Not.",yes
I genuinely love doctors.,no
I find my new phone to be wonderful.,no
Had a great time with my new phone.,no
"Everyone loves this book, right?",yes
the concert are truly inspiring.,no
I find artists to be wonderful.,no
"Had a the workshop, best experience ever. Not.",yes
"Had a the workshop, best experience ever. Not.",yes
the workshop have always been great.,no
Can't wait for more of doctors.,no
Nothing better than a the concert moment.,yes
the concert are genuinely amazing.,no
I am always excited for the workshop.,no
Had a great time with the concert.,no
the meal are genuinely amazing.,no
I find scientists to be wonderful.,no
I genuinely love athletes.,no
Because the conference really make everything better.,yes
Can't wait for more of the concert.,yes
Can't wait for more of writers.,yes
I find engineers to be wonderful.,no
I genuinely love artists.,no
I find the workshop to be wonderful.,no
I just love when this movie happens.,yes
"Everyone loves this book, right?",yes
the game are genuinely amazing.,no
Had a great time with musicians.,no
musicians are truly inspiring.,no
"Everyone loves the conference, right?",yes
I find athletes to be wonderful.,no
I just love when writers happens.,yes
I find the game to be wonderful.,no
I find artists to be wonderful.,no
athletes are genuinely amazing.,no
Can't wait for more of this movie.,yes
this book are genuinely amazing.,no
"Had a artists, best experience ever. Not.",yes
athletes have always been great.,no
"Had a engineers, best experience ever. Not.",yes
I genuinely love athletes.,no
artists are genuinely amazing.,no
I just love when the meal happens.,yes
the workshop have always been great.,no
"Oh great, another my new phone. Just what I needed.",yes
Had a great time with my new phone.,no
this book are genuinely amazing.,no
I find scientists to be wonderful.,no
Had a great time with musicians.,no
Can't wait for more of vegetarians.,no
I am always excited for this movie.,no
scientists have always been great.,no
I find my new phone to be wonderful.,no
I find engineers to be wonderful.,no
"the workshop are so wonderful, said no one ever.",yes
Nothing better than a this book moment.,yes
Because artists really make everything better.,yes
I genuinely love the conference.,no
vegetarians are genuinely amazing.,no
Had a great time with the workshop.,no
I just love when doctors happens.,yes
"this movie are so wonderful, said no one ever.",yes
"Oh great, another the conference. Just what I needed.",yes
"Oh great, another the concert. Just what I needed.",yes
Because my new phone really make everything better.,yes
I just love when writers happens.,yes
"musicians are so wonderful, said no one ever.",yes
I just love when this movie happens.,yes
Can't wait for more of scientists.,yes
"Had a vegetarians, best experience ever. Not.",yes
I just love when writers happens.,yes
Because the concert really make everything better.,yes
Nothing better than a doctors moment.,yes
Nothing better than a the concert moment.,yes
I genuinely love musicians.,no
Had a great time with the workshop.,no
Can't wait for more of my new phone.,yes
athletes are truly inspiring.,no
Because the meal really make everything better.,yes
Nothing better than a my new phone moment.,yes
"this movie are so wonderful, said no one ever.",yes
I find this book to be wonderful.,no
Because the workshop really make everything better.,yes
engineers have always been great.,no
my new phone are truly inspiring.,no
artists are truly inspiring.,no
Had a great time with doctors.,no
scientists are genuinely amazing.,no
Nothing better than a the meal moment.,yes
I am always excited for the workshop.,no
I find the conference to be wonderful.,no
I am always excited for this movie.,no
"the meal are so wonderful, said no one ever.",yes
I find this book to be wonderful.,no
Because the concert really make everything better.,yes
"doctors are so wonderful, said no one ever.",yes
"Oh great, another athletes. Just what I needed.",yes
I find this movie to be wonderful.,no
this book are genuinely amazing.,no
I find my new phone to be wonderful.,no
I am always excited for the conference.,no
"Had a the game, best experience ever. Not.",yes
Can't wait for more of athletes.,yes
I just love when the concert happens.,yes
Can't wait for more of my new phone.,yes
this book have always been great.,no
I am always excited for the conference.,no
Had a great time with my new phone.,no
Can't wait for more of athletes.,no
"Oh great, another doctors. Just what I needed.",yes
Can't wait for more of the workshop.,yes
Nothing better than a athletes moment.,yes
the meal are genuinely amazing.,no
"the workshop are so wonderful, said no one ever.",yes
I find the concert to be wonderful.,no
Can't wait for more of musicians.,no
"Had a the meal, best experience ever. Not.",yes
the concert are genuinely amazing.,no
the concert have always been great.,no
the concert have always been great.,no
I genuinely love writers.,no
Because musicians really make everything better.,yes
"Oh great, another the meal. Just what I needed.",yes
Nothing better than a vegetarians moment.,yes
Had a great time with this book.,no
Can't wait for more of athletes.,yes
Can't wait for more of writers.,no
"Everyone loves musicians, right?",yes
"Everyone loves engineers, right?",yes
"Had a musicians, best experience ever. Not.",yes
I am always excited for artists.,no
Because vegetarians really make everything better.,yes
Had a great time with the workshop.,no
Can't wait for more of the conference.,yes
I genuinely love engineers.,no
Can't wait for more of the game.,no
Can't wait for more of writers.,yes
"scientists are so wonderful, said no one ever.",yes
I am always excited for the concert.,no
Can't wait for more of the meal.,yes
Can't wait for more of musicians.,no
my new phone are truly inspiring.,no
I genuinely love the concert.,no
engineers have always been great.,no
I genuinely love the conference.,no
"Everyone loves the workshop, right?",yes
I just love when this book happens.,yes
engineers are truly inspiring.,no
I am always excited for my new phone.,no
"Had a the game, best experience ever. Not.",yes
Nothing better than a athletes moment.,yes
I am always excited for the game.,no
"Everyone loves the game, right?",yes
Nothing better than a the meal moment.,yes
"writers are so wonderful, said no one ever.",yes
Had a great time with the workshop.,no
I just love when the concert happens.,yes
I find the meal to be wonderful.,no
Because doctors really make everything better.,yes
I just love when athletes happens.,yes
Nothing better than a doctors moment.,yes
Had a great time with the workshop.,no
I genuinely love musicians.,no
